epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4837,1.21,3.2166,0.97282,0.87607,0.17749,0.50501,0.34794,1.15398,2.42136,0.98333,0.00023562,0.00023562,0.00023562
2,62.621,1.12816,1.76565,0.97146,0.61057,0.65717,0.67045,0.47019,1.05766,1.13139,0.98526,0.000317325,0.000317325,0.000317325
3,96.083,1.06219,1.5421,0.94454,0.71523,0.68802,0.75907,0.50718,1.01221,0.98907,0.94997,0.000241951,0.000241951,0.000241951
